"id","title","author","genre","text","emotion","emotion_intensity","audio_features","release_date","created_at","updated_at"
3,"Тону","HOLLYFLAME","ruspop","Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Я все мог увидеть иначе Смотря под другими углами И небо что светится ярче И твои глаза океаны Я бы утопал в них прям с головой Забыв обо всем вокруг Но пока ты со мной - твои объятия Мой спасательный круг Без тебя самый пустой я И я на кухне совсем в ноль Я все бы отдал за скандал Что за соседскою стеной За сигарету на двоих С горем, напополам с тобой Вдвоем с тобой.. Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Без тебя я тлел и догорал - И тонул нащупывав дно Поменял город, а с ним вокзал, Что обо мне, обо мне расскажет все Без тебя в моем море шторм В тишине там тонут корабли Если бы, если бы я только знал Что всегда рядом была ты Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну Тону, тону.. Я в глазах твоих тону Чем ты дальше от меня Тем сильней иду ко дну","sadness","8.5","{""tempo"": 120.02976989746094, ""energy"": 0.9431653618812561, ""danceability"": 0.8135310411453247, ""acousticness"": 0.1646626889705658, ""instrumentalness"": 0.0316801443696022, ""valence"": 0.37848931550979614, ""key"": 0, ""mode"": 0, ""loudness"": 9.149794578552246, ""speechiness"": 0.9840620756149292, ""duration"": 163.0}","2026-01-01","2026-03-21 12:10:33.937908","2026-03-21 12:10:33.937911"
6,"БАНК","ICEGERGERT","rusrap","Запах кожи и валюта на диване Даже если попрошу, не наливай мне Уникально, на вкус оригинально Ты же тоже слышишь миллионы между нами? (Money, money, money) Всё слишком красиво, мы не сможем быть врагами Это тоже начал понимать с годами Увлекаюсь исключительно глобальными делами Ты — моя скрипка, я — Antonio Vivaldi Я как будто бы банк, но я не коплю, плюс Моя дама бьёт туз Поднимаю sunrise, шлю в Питер салют (damn) From 7-9-7 RUS Я как будто бы банк, но я не коплю, плюс Моя дама бьёт туз Поднимаю sunrise, шлю в Питер салют From 7-9-7 RUS Если отдыхаю, знают, что мы тратим грязно Чё ты хочешь? Скажи коротко и ясно Рассматривать её в моём присутствии опасно Mama, I'ma hustler Бери своих друзей, приезжайте во дворец Мы же оба понимаем, это точно не конец Читаю между строк, тебе лучше одеться Эта леди знает своё место Не нужно торопиться, у нас много времени Ехал восемь миль, чувствую себя как Eminem С нами за столом, м, ангелы и демоны В этих шотах strawberry и lemon'ы Рыжие рубли, розовые евро Зови подруг, не веди себя как стерва Это money гонки, ведём ся как панки (Сколько?) Песо, фунты, франки Я как будто бы банк, но я не коплю, плюс Моя дама бьёт туз Поднимаю sunrise, шлю в Питер салют (damn) From 7-9-7 RUS Я как будто бы банк, но я не коплю, плюс Моя дама бьёт туз Поднимаю sunrise, шлю в Питер салют From 7-9-7 RUS Я та леди, что империю не строит на воде Руки Франсуа Картье Эти мальчики спорят, кто тут самый авторитет (эй) Я расскажу, как делать бренд Этот самый лютый зверь в топ-чарте самооценок (хм-м) Очередной милый котёнок Но ты не потянешь чек, ведь я девочка-феномен (а) Справа ангел, слева Omen И ты знаешь мой номер — Москва 4-9-5 плюс Её уникальный вкус Нас любят, ненавидят, боятся и уважают (что?) 7-9-7 RUS Ни с тобой, ни с ними, я управляю стаей (тс), а Давай немного помолчим (м) В каждом городе тратим и умножаем (водочки нам принеси) Мальчик, мы домой летим Я как будто бы банк, но я не коплю, плюс Моя дама бьёт туз Поднимаю sunrise, шлю в Питер салют (damn) From 7-9-7 RUS Я как будто бы банк, но я не коплю, плюс Моя дама бьёт туз Поднимаю sunrise, шлю в Питер салют From 7-9-7 RUS RUS, RUS, RUS, RUS 7, 7-9-7 RUS RUS, RUS, RUS, RUS 7-9-7 RUS","anger","7.9","{""tempo"": 99.48845672607422, ""energy"": 0.9676401019096375, ""danceability"": 0.9541147947311401, ""acousticness"": 0.06491504609584808, ""instrumentalness"": 0.09213614463806152, ""valence"": 0.545020341873169, ""key"": 0, ""mode"": 0, ""loudness"": 8.822799682617188, ""speechiness"": 0.8978432416915894, ""duration"": 177.75}","2025-01-01","2026-03-21 12:12:01.678329","2026-03-21 12:12:01.678331"
8,"Жиганская","Jakone","ruspop","А я пацанов не видела толком Не пропадала ночами, чтоб мать не ждала Она меня хранила, берегла дочерью прилежной И самой послушной девочкой-пай для всех была Но повеяла юность запахом сладким (запахом сладким) Шарм ночных кабаков малины жиганской (такой чёткой, пацанской) На нём кожаный плащ и крови не мало (Ой) походу, мама, я попала А я такой начищенный, весь из себя напыщенный, весь из себя Если б ты не вышла, я бы точно вышел из себя Куда ещё симпатичнее, харизматичнее чем я? Я повыше тех, кто в твою личку сутками стучат Ты со мною можешь на кого хочешь накричать Делать всё чё тебе в кайф, у тебя есть кому отвечать Я надёжнее чем твой папа и вся его воинская часть Даже поместим всё твоё родственное древо на моих плечах Часто на своих темах не хотел, но пропадал я (снова пропадал ты) А ты ждёшь меня всегда красивого с цветами Но я, как обычно, за спиной не с букетом, а с ментами Зато эффектно и красиво я их ксивы развернул и смог остаться (со мною, чтоб обняться) Со мною навряд ли будет тихо, будет лихо И опасность не опасность, ты только улыбайся Но повеяла юность запахом сладким (запахом сладким) Шарм ночных кабаков малины жиганской (такой чёткой, пацанской) На нём кожаный плащ и крови не мало (Ой) походу, мама, я попала","happiness","7.92","{""tempo"": 172.2659454345703, ""energy"": 0.9287154078483582, ""danceability"": 0.8171277642250061, ""acousticness"": 0.175465926527977, ""instrumentalness"": 0.11595384776592255, ""valence"": 0.4105991721153259, ""key"": 0, ""mode"": 0, ""loudness"": 11.956767082214355, ""speechiness"": 0.9032070636749268, ""duration"": 128.47}","2025-01-01","2026-03-21 12:13:17.159706","2026-03-21 12:13:17.15971"
11,"NO BATIDAO","ZXKAI","phonkgenre","E-ela desce, ela sobe, no baile é pressão Mina linda, perigosa, rouba meu coração Vai quicando, vai jogando, não perde a razão No batidão, no batidão, só pura tentação Ela desce, ela sobe, no baile é pressão Mina linda, perigosa, rouba meu coração Ela desce, ela sobe, no baile é pressão Mina linda, perigosa, rouba meu coração Ela desce, ela sobe, no baile é pressão Mina linda, perigosa, rouba meu coração Vai quicando, vai jogando, não perde a razão No batidão, no batidão, só pura tentação Desce, ela sobe, no baile é pressão Mina linda, perigosa, rouba meu coração Ela desce, ela sobe, no baile é pressão Mina linda, perigosa, rouba meu coração Ela desce, ela sobe, no baile é pressão Mina linda, perigosa, rouba meu coração Vai quicando, vai jogando, não perde a razão No batidão, no batidão, só pura tentação","happiness","8.5","{""tempo"": 129.9672393798828, ""energy"": 0.953536331653595, ""danceability"": 0.9491459727287292, ""acousticness"": 0.001782172010280192, ""instrumentalness"": 0.3230553865432739, ""valence"": 0.9722263216972351, ""key"": 0, ""mode"": 0, ""loudness"": 4.054834842681885, ""speechiness"": 0.766812264919281, ""duration"": 89.83}","2025-01-01","2026-03-21 12:13:59.988734","2026-03-21 12:13:59.988742"
15,"Чем прежде","Полка","rusrap","Е, е, let’s go Ага Е, е Ага Е, ага Че, че, че-че-че-че А, ее Я забил делами день, прости, что долго отвечал Я днём любил её так сильно, ещё больше по ночам Я вызвал себе такси, хотел заново всё начать Сделав дыру в своей груди, что называется печаль Скажи: «Как так?» Теперь я её главный враг Теперь я её проебал Только я в этом виноват Скажи: «Как так?» Теперь я её красный флаг И в телефонной книжке я теперь «Трубку не брать - мудак» (Скажи) Сколько напрасных дней в надежде Дым этажами между Я отдал бы всё на свете, лишь бы снять с неё одежду Я отдал бы всё и больше, чтобы знать, что нами между Заставляла меня бросить, щас курю больше, чем прежде Ведь дым такой же белый, если полоса черней Ночи хоронят день, а слухи так же людей И я встречу тебя ночью там где-то после нулей На нашем месте, если помнишь, давай только без соплей Быстро ныряю словно крот из перехода в переход Надеюсь, я не выделяюсь, как и местный пешеход Держи дыхание ровным, а голову высоко Мне слился сон, где я искал тебя, где тут вагон метро Я проснулся или сплю, да хуй тут уже поймёшь Я набирал тебе раз пять, в надежде, что ты возьмёшь Слушай, ты знаешь, правда, надежда правда умерла последней Ведь я считал тебя своей, что до конца и без сомнений Сколько напрасных дней в надежде Дым этажами между Я отдал бы всё на свете, лишь бы снять с неё одежду Я отдал бы всё и больше, чтобы знать, что нами между Заставляла меня бросить, щас курю больше, чем прежде Сколько напрасных дней в надежде Дым этажами между Я отдал бы всё на свете, лишь бы снять с неё одежду Я отдал бы всё и больше, чтобы знать, что нами между Заставляла меня бросить, щас курю больше, чем прежде Щас курю больше, чем прежде Е, ага, е","sadness","8.5","{""tempo"": 163.88104248046875, ""energy"": 0.8882234692573547, ""danceability"": 0.8426313996315002, ""acousticness"": 0.24125924706459045, ""instrumentalness"": 0.1543629765510559, ""valence"": 0.5145183801651001, ""key"": 0, ""mode"": 1, ""loudness"": 13.029415130615234, ""speechiness"": 0.8915773630142212, ""duration"": 133.67}","2026-01-01","2026-03-21 12:15:08.829098","2026-03-21 12:15:08.8291"
33,"Ворона","Кэнни","electronics","Там на углу сидит ворона С хуем во рту, во рту корона В эту тёмную ночь никто не в силах ей помочь А в эту лунную ночь никто не сможет ей помочь Баба-яга сварила зелье Звери в лесу все охуели В эту тёмную ночь никто не в силах им помочь А в эту лунную ночь никто не сможет им помочь Там за рекой ебут русалку Сам водяной кидает палку В эту тёмную ночь никто не в силах ей помочь А в эту лунную ночь никто не сможет ей помочь Там на суку сидит ворона С хуем во рту, на лбу корона В эту тёмную ночь никто не в силах ей помочь А в эту лунную ночь никто не сможет ей помочь Баба-яга сварила зелье Звери в лесу все охуели В эту тёмную ночь никто не в силах им помочь А в эту лунную ночь никто не сможет им помочь Там за рекой ебут русалку Сам водяной кидает палку В эту тёмную ночь никто не в силах ей помочь А в эту лунную ночь никто не сможет ей помочь Ванька-дурак на сером волке С криком ""Пиздец!"" сшибает ёлки В эту тёмную ночь никто не в силах им помочь А в эту лунную ночь никто не сможет им помочь","fear","8.2","{""tempo"": 119.2905044555664, ""energy"": 0.9226622581481934, ""danceability"": 0.829590916633606, ""acousticness"": 0.2883831858634949, ""instrumentalness"": 0.14312021434307098, ""valence"": 0.33256351947784424, ""key"": 0, ""mode"": 0, ""loudness"": 9.686238288879395, ""speechiness"": 0.8434731364250183, ""duration"": 162.0}","2025-01-01","2026-03-21 12:16:03.269124","2026-03-21 12:16:03.269126"
1,"КУПЕР","SQWOZ BAB","rusrap","Даже на мой хутор приезжает Купер Я в облака укутал, не пущу ни на минуту Это наш уютный купол, давай устроим кукинг И твой любимый фильм будет в озвучке Кубик в Кубе Детка, даже на мой хутор, приезжает Купер Представь как это круто: никуда не надо утром Но ты на работе в будни, не спишь вторые сутки Куплю тебе, что хочешь, детка, когда бабки будут А, знаешь, бабки будут, я чувствую ""вот тут вот"" Моя кукла Вуду ща фармит эту валюту И горы редкого лута. Верь мне, а не кому-то Не слушай никого и увольняйся отовсюду Мы зумеры, они уже привыкли Мы больше не играем в эти игры В конце они не попадают в титры Ты знаешь, детка, мы новые хиппи Даже на мой хутор приезжает Купер Я в облака укутал, не пущу ни на минуту Это наш уютный купол, давай устроим кукинг И твой любимый фильм будет в озвучке Кубик в Кубе Детка, даже на мой хутор, приезжает Купер Представь как это круто: никуда не надо утром В объятия уюта будто тебя опутал Куплю тебе, что хочешь детка, а доставит Купер","disgust","8","{""tempo"": 106.39962768554688, ""energy"": 0.9325899481773376, ""danceability"": 0.9796258807182312, ""acousticness"": 0.028058305382728577, ""instrumentalness"": 0.22951646149158478, ""valence"": 0.12955722212791443, ""key"": 0, ""mode"": 1, ""loudness"": 10.856112480163574, ""speechiness"": 0.7892035841941833, ""duration"": 105.0}","2025-01-01","2026-03-21 12:16:51.171519","2026-03-21 12:16:51.171522"
7,"КУКЛА","Дискотека Авария","ruspop","Кто любовь эту выдумал? Давить на совесть, давить на жалость Что осталось — всё смешалось Сперва сложилось, потом сломалось Такая малость — с ним встретить старость Этот ночной полёт, этот прекрасный вид Может быть, заслужит его ретвит Перейди с автопилота в ручной режим Вот если б прилетел бы на помощь джин Пальцы складывают буквы Ты просто кукла, ты только кукла Твой message этим утром самый первый, самый ранний Берегись своих желаний И кто любовь эту выдумал? Ты не знаешь о ней, пока ты мал Ты не знаешь, зачем она так нужна А вдруг завтра горе или война? Почему же так тяжело дышать? Почему так рвётся твоя душа? Словно стрелы отравленные мысли Твои неотправленные письма И кто любовь эту выдумал? Ты не знаешь о ней, пока ты мал Ты не знаешь, зачем она так нужна А вдруг завтра горе или война? Почему же так тяжело дышать? Почему так рвётся твоя душа? Словно стрелы отравленные мысли Твои неотправленные Неотправленные письма Неотправленные письма Этот ночной полёт, этот прекрасный вид Может быть, заслужит его ретвит Перейди с автопилота в ручной режим Вот если б прилетел бы на помощь джин Пальцы складывают буквы Ты просто кукла, ты только кукла Твой message этим утром самый первый, самый ранний (VONAMOUR) И кто любовь эту выдумал? Ты не знаешь о ней, пока ты мал Ты не знаешь, зачем она так нужна А вдруг завтра горе или война? Почему же так тяжело дышать? Почему так рвётся твоя душа? Словно стрелы отравленные мысли Твои неотправленные письма Почему же так тяжело дышать? Почему так рвётся твоя душа? Я буду ждать тебя, даже если горе или война Почему же так тяжело дышать? Почему так рвётся твоя душа? И кто любовь эту выдумал? И кто любовь эту выдумал? И кто любовь эту выдумал? И кто любовь эту выдумал?","sadness","8.25","{""tempo"": 103.33052062988281, ""energy"": 0.7801070213317871, ""danceability"": 0.6862376928329468, ""acousticness"": 0.39731931686401367, ""instrumentalness"": 0.10375047475099564, ""valence"": 0.21201764047145844, ""key"": 0, ""mode"": 0, ""loudness"": 12.641672134399414, ""speechiness"": 0.7978962659835815, ""duration"": 205.0}","2026-01-01","2026-03-21 12:17:33.307881","2026-03-21 12:17:33.307884"
10,"днями и ночами","BUSHIDO ZHO","rusrap","dj BASEDMONEY Глубоко это deep Я как море дам бриз Я стал победитель я с тобой забрал приз Хотелось поменяться и я опускался вниз Посинели мои губы подари мне свой кисс (WEX on a beat) Listen Эй Сделал step я на сцене не пойду на back Как я могу не идти на верх когда со мной п*** я на трезвом и так пару лет (как?) Не могу понять (что?) Но во мне есть боль я не прошу её унять Я это прошел я не готов это менять Боже меня слышит и я боюсь ему врать Ай Здесь Буши Ай Ты днями и ночами в моем тг канале рисуешь на экране (Рисуешь ты слезами) Своей красной помадой Забудь что было с нами Детка любовь так ранит Малышка хватит плакать Малышка хватит плакать Я не приду обратно (Listen) Малышка хватит плакать Малышка хватит плакать Я не приду обратно Будь проще Да какие знаки? Ты одна там ночью дак отправь кружочек И твой бывший парень Не узнает точно Да кому ты лечишь? Кто там че там хочет? Я не буду прыгать выше головы Но мы сразу перейдем с тобой на ты Разведи меня как в питере мосты И я оставлю в твоей спальне свои лучшие часы Дай мне еще время не уснуть Я пытаюсь уловить всю твою суть Ненавижу тебя если ты не тут! Но бл*ть вижу тебя если ты не тут! Ты днями и ночами в моем тг канале рисуешь на экране Своей красной помадой Забудь что было с нами Детка любовь так ранит (Очень сильно прямо в сердце) Малышка хватит плакать Малышка хватит плакать Я не приду обратно Малышка хватит плакать (хватит) Малышка хватит плакать (хватит) Я не приду обратно (плакать) Нет больше ты меня не встретишь Эта ночь покажет что никто не вечен Я хотел бежать и я хотел закрыться Эти искры могут помочь желанием сбыться Мы реально ближе чем ты можешь думать Любовь не просто это не взять и сунуть И пусть так считают и пусть в это верят но мы правда знаем кто из них болеет Люблю тебя","sadness","7.92","{""tempo"": 128.9315948486328, ""energy"": 0.9050384163856506, ""danceability"": 0.7677650451660156, ""acousticness"": 0.11294903606176376, ""instrumentalness"": 0.14418813586235046, ""valence"": 0.10347698628902435, ""key"": 0, ""mode"": 0, ""loudness"": 11.168123245239258, ""speechiness"": 0.9211028218269348, ""duration"": 142.32}","2025-01-01","2026-03-21 12:18:21.934316","2026-03-21 12:18:21.934319"
12,"Намёк на нас","MOT","ruspop","Раз - как намёк на нас Два - уже правило Три важных слова, однажды оставленных Я не силен в арифметике И мой «пример» ведь небезукоризнен Но я замуровал прямо в эти куплетики Наше дыхание жизни Всё приходит-уходит, поверь, не просто так И важно уметь уловить в суете Другими невидимый знак Раз - как намёк на нас Раз - как намёк на нас Два - уже правило Три важных слова, однажды оставленных Мы так устроены Классно, по-моему Больше, чем двое И выше секвойи Любовь Обниматься крепче Прижимать поближе Без остатка раствориться в этом движе Обниматься крепче Каждый раз сильнее Крутить сальтухи в наш огромный любви бассейн Намёки когда-то закончатся, и я скажу прямым текстом Что я без тебя и ты без меня Как ребёнок без детства Мы каждый день будем крепче Мы каждый раз будем ближе Слова - пассатижи Но мы добавляем в пробелы парочку фишек Раз - как намёк на нас Два- уже правило Три важных слова, однажды оставленных Раз - как намёк на нас Два- уже правило Три важных слова, однажды оставленных Мы так устроены Классно, по-моему Больше, чем двое И выше секвойи Любовь Как намёк на нас окрылённых фраз Свет Нам укажет путь порою Заплетём в рассказ Мой профиль, твой анфас Эта любовь выше, чем все секвойи Как намёк на нас Свет Нам укажет путь порою Обниматься крепче Прижимать поближе Без остатка раствориться","happiness","6.2","{""tempo"": 109.95352172851562, ""energy"": 0.6594809889793396, ""danceability"": 0.46252039074897766, ""acousticness"": 0.2939022481441498, ""instrumentalness"": 0.1551293283700943, ""valence"": 0.1477261334657669, ""key"": 0, ""mode"": 1, ""loudness"": 11.3178071975708, ""speechiness"": 0.85400390625, ""duration"": 168.27}","2026-01-01","2026-03-21 12:18:55.625986","2026-03-21 12:18:55.625989"
